"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
71336645,"2023-01-12 09:08:00","6x1000m/2:00r row",26:06.6,1566.6,12:00.0,720,6000,101,30,785,2:10.5,157,841,364,142,126,48,Hwt,RowErg,No,,"2023-01-11 22:08:51"
71236988,"2023-01-10 09:22:00","v1:00/2:00r...5 row",13:00.0,780,10:00.0,600,3118,54,30,401,2:05.0,179,915,195,140,126,48,Hwt,RowErg,No,,"2023-01-09 22:22:34"
71193077,"2023-01-09 10:32:00","1x500m/1:00r row",1:58.9,118.9,1:00.0,60,500,20,33,66,1:58.9,208,1016,33,150,123,48,Hwt,RowErg,No,500m/1:15r,"2023-01-08 23:32:37"
71192556,"2023-01-09 10:16:00","6x1000m/2:00r row",25:31.0,1531,12:00.0,720,6000,113,30,784,2:07.5,169,880,371,146,126,48,Hwt,RowErg,No,1000m/2:00r,"2023-01-08 23:16:26"
71068121,"2023-01-06 09:15:00","6x1000m/2:00r row",25:36.6,1536.6,12:00.0,720,6000,96,29,763,2:08.0,167,873,369,151,128,48,Hwt,RowErg,No,1000m/2:00r,"2023-01-05 22:15:22"
71023623,"2023-01-05 09:27:00","v4:00/2:00r...7 row",19:00.0,1140,14:00.0,840,4595,94,29,568,2:04.0,183,931,291,154,127,48,Hwt,RowErg,No,,"2023-01-04 22:27:44"
70985036,"2023-01-04 13:31:00","6x1000m/2:00r row",26:01.1,1561.1,12:00.0,720,6000,85,29,765,2:10.0,159,847,364,144,128,48,Hwt,RowErg,No,,"2023-01-04 02:31:04"
70885821,"2023-01-02 09:20:00","1x5:00/1:30r row",5:00.0,300,1:30.0,90,1160,14,29,143,2:09.3,162,857,71,161,121,48,Hwt,RowErg,No,"5 & 130 interval","2023-01-01 22:20:31"
70885658,"2023-01-02 09:14:00","v750m/2:00r...5 row",15:38.8,938.8,10:00.0,600,3750,88,29,467,2:05.1,178,914,236,154,122,48,Hwt,RowErg,No,,"2023-01-01 22:14:33"
70857857,"2023-01-01 09:38:00","12x500m/1:15r row",25:14.6,1514.6,15:00.0,900,6000,201,28,728,2:06.2,174,899,374,146,124,48,Hwt,RowErg,No,500m/1:15r,"2022-12-31 22:38:38"
70825424,"2022-12-31 09:30:00","10x500m/1:15r row",20:54.4,1254.4,12:30.0,750,5000,168,27,582,2:05.4,177,910,311,145,126,48,Hwt,RowErg,No,500m/1:15r,"2022-12-30 22:30:16"
70769326,"2022-12-29 13:27:00","10x500m/1:15r row",21:08.8,1268.8,12:30.0,750,5000,150,27,576,2:06.8,171,889,308,144,128,48,Hwt,RowErg,No,500m/1:15r,"2022-12-29 02:27:22"
70736330,"2022-12-28 12:18:00","10x500m/1:15r row",21:34.6,1294.6,12:30.0,750,5000,157,26,563,2:09.4,161,855,302,136,127,48,Hwt,RowErg,No,500m/1:15r,"2022-12-28 01:18:30"
70705802,"2022-12-27 10:10:00","10x500m/1:15r row",21:25.5,1285.5,12:30.0,750,5000,155,26,564,2:08.5,165,867,306,147,124,48,Hwt,RowErg,No,500m/1:15r,"2022-12-26 23:10:39"
70662309,"2022-12-25 11:15:00","6x500m/1:15r row",12:40.0,760,7:30.0,450,3000,109,27,348,2:06.6,172,892,187,156,125,48,Hwt,RowErg,No,500m/1:15r,"2022-12-25 00:15:13"
70633674,"2022-12-24 11:37:00","v2:00/1:00r...5 row",10:00.0,600,5:00.0,300,2333,253,27,299,2:08.5,165,866,141,158,126,48,Hwt,RowErg,No,,"2022-12-24 00:37:28"
70633389,"2022-12-24 11:21:00","v2:00/1:00r...1 row",2:00.0,120,1:00.0,60,487,18,31,61,2:03.2,187,944,31,142,126,48,Hwt,RowErg,No,,"2022-12-24 00:21:56"
70602443,"2022-12-23 12:30:00","2x5:00/1:30r row",10:00.0,600,3:00.0,180,2191,37,28,282,2:16.9,136,769,128,154,122,48,Hwt,RowErg,No,"5 & 130 interval","2022-12-23 01:30:27"
70601251,"2022-12-23 11:33:00","1x5:00/1:30r row",5:00.0,300,1:30.0,90,1135,19,29,144,2:12.1,152,821,68,154,124,48,Hwt,RowErg,No,,"2022-12-23 00:33:28"
82364593,"2023-12-19 09:36:00","v750m/2:00r...5 row",14:49.1,889.1,10:00.0,600,3750,2007,29,660,1:58.5,210,1023,251,0,140,49,Hwt,RowErg,No,,"2023-12-18 22:36:43"
82289967,"2023-12-17 10:07:00","v1:00/2:00r...9 row",25:00.0,1500,18:00.0,1080,6219,165,28,709,2:00.5,200,986,408,0,139,49,Hwt,RowErg,No,,"2023-12-16 23:08:42"
82222277,"2023-12-15 14:44:00","v2:00/1:00r...10 row",20:00.0,1200,10:00.0,600,4977,172,28,572,2:00.5,200,987,325,0,137,49,Hwt,RowErg,No,,"2023-12-15 03:45:36"
81846290,"2023-12-06 10:46:00","v50c/2:00r...5 row",8:52.1,532.1,10:00.0,600,2220,2322,28,514,1:59.8,203,999,150,0,140,49,Hwt,RowErg,No,,"2023-12-05 23:46:45"
81721661,"2023-12-03 13:34:00","v50c/2:00r...5 row",8:12.2,492.2,10:00.0,600,2133,2205,29,498,1:55.3,228,1084,150,0,139,49,Hwt,RowErg,No,,"2023-12-03 02:35:17"
81457843,"2023-11-27 15:49:00","v1000m/2:00r...3 row",12:09.9,729.9,6:00.0,360,3000,61,27,342,2:01.6,194,969,195,0,138,49,Hwt,RowErg,No,,"2023-11-27 04:50:17"
81419574,"2023-11-26 15:55:00","v1:00/2:00r...5 row",15:00.0,900,10:00.0,600,3775,104,28,439,1:59.2,207,1011,250,0,138,49,Hwt,RowErg,No,,"2023-11-26 04:55:47"
81273268,"2023-11-22 14:59:00","v3:00/2:00r...5 row",19:00.0,1140,10:00.0,600,4638,85,26,506,2:02.8,189,948,298,0,140,49,Hwt,RowErg,No,,"2023-11-22 04:00:05"
81138801,"2023-11-18 16:12:00","v1:00/2:00r...5 row",15:00.0,900,10:00.0,600,3746,111,27,415,2:00.1,202,994,246,0,141,49,Hwt,RowErg,No,,"2023-11-18 05:13:42"
80960279,"2023-11-13 16:16:00","v1:00/3:00r...4 row",4:00.0,240,12:00.0,720,1086,2667,30,427,1:50.4,259,1192,78,0,141,49,Hwt,RowErg,No,,"2023-11-13 05:17:28"
80836321,"2023-11-09 12:13:00","v250m/0:45r...12 row",11:49.8,709.8,9:00.0,540,3000,256,28,346,1:58.3,211,1027,199,0,139,49,Hwt,RowErg,No,,"2023-11-09 01:14:14"
80798826,"2023-11-08 12:54:00","v5:00/2:00r...5 row",15:00.0,900,10:00.0,600,3733,79,27,416,2:00.5,200,987,246,0,136,49,Hwt,RowErg,No,,"2023-11-08 01:55:21"
80693611,"2023-11-05 15:35:00","v250m/0:45r...12 row",11:43.9,703.9,9:00.0,540,3000,267,26,343,1:57.3,217,1046,197,0,169,49,Hwt,RowErg,No,v250m/:45r...12,"2023-11-05 04:36:04"
80664492,"2023-11-04 11:07:00","3x1000m/2:00r row",12:09.3,729.3,6:00.0,360,3000,56,25,315,2:01.5,195,970,195,0,145,49,Hwt,RowErg,No,,"2023-11-04 00:08:04"
80440460,"2023-10-28 16:07:00","3x1000m/2:00r row",12:17.8,737.8,6:00.0,360,3000,53,26,324,2:02.9,188,947,193,0,145,49,Hwt,RowErg,No,,"2023-10-28 05:08:09"
80407105,"2023-10-27 12:27:00","3x1000m/2:00r row",12:36.2,756.2,6:00.0,360,3000,60,26,330,2:06.0,175,901,190,0,144,49,Hwt,RowErg,No,,"2023-10-27 01:28:50"
80195667,"2023-10-20 15:26:00","3x1000m/2:00r row",14:49.8,889.8,6:00.0,360,3000,49,22,340,2:28.3,107,669,187,0,137,49,Hwt,RowErg,No,,"2023-10-20 04:27:23"
80100251,"2023-10-17 16:50:00","3x1000m/2:00r row",13:06.0,786,6:00.0,360,3000,57,25,341,2:11.0,156,835,187,0,142,49,Hwt,RowErg,No,,"2023-10-17 05:50:58"
80041053,"2023-10-15 16:07:00","2x1000m/2:00r row",8:20.9,500.9,4:00.0,240,2000,37,26,219,2:05.2,178,913,126,0,140,49,Hwt,RowErg,No,,"2023-10-15 05:08:20"
79986349,"2023-10-13 13:35:00","3x1000m/2:00r row",12:42.7,762.7,6:00.0,360,3000,58,29,378,2:07.1,170,886,187,0,142,49,Hwt,RowErg,No,,"2023-10-13 02:36:51"
79924158,"2023-10-11 16:54:00","3x1000m/2:00r row",12:52.9,772.9,6:00.0,360,3000,59,31,406,2:08.8,164,863,184,0,151,49,Hwt,RowErg,No,,"2023-10-11 05:55:37"
79852260,"2023-10-09 09:50:00","2x1000m/2:00r row",8:33.3,513.3,4:00.0,240,2000,42,29,250,2:08.3,166,870,123,0,144,49,Hwt,RowErg,No,,"2023-10-08 22:51:33"
79829896,"2023-10-08 15:15:00","2x1000m/2:00r row",12:25.4,745.4,4:00.0,240,2000,32,20,260,3:06.3,54,486,121,0,143,49,Hwt,RowErg,No,,"2023-10-08 04:16:54"
79805228,"2023-10-07 14:31:00","2x1000m/2:00r row",8:42.7,522.7,4:00.0,240,2000,35,27,234,2:10.6,157,839,121,0,143,49,Hwt,RowErg,No,1000m/2:00r,"2023-10-07 03:32:18"
78612805,"2023-08-27 16:05:00","v1:00/2:00r...5 row",13:00.0,780,10:00.0,600,3075,84,28,382,2:06.8,172,890,191,0,159,48,Hwt,RowErg,No,,"2023-08-27 06:05:31"
78587998,"2023-08-26 15:28:00","v1:00/1:00r...6 row",21:00.0,1260,6:00.0,360,4697,100,26,561,2:14.1,145,799,280,0,143,48,Hwt,RowErg,No,v1:00/1:00r...6,"2023-08-26 05:28:30"
77609112,"2023-07-22 16:53:00","v1000m/2:00r...3 row",12:29.2,749.2,6:00.0,360,3000,76,28,361,2:04.8,180,918,190,0,152,48,Hwt,RowErg,No,,"2023-07-22 06:53:27"
77217021,"2023-07-07 12:40:00","v500m/2:00r...5 row",10:02.6,602.6,10:00.0,600,2500,1784,27,498,2:00.5,200,988,163,0,142,48,Hwt,RowErg,No,,"2023-07-07 02:41:05"
77189509,"2023-07-06 12:28:00","v1:00/2:00r...5 row",13:00.0,780,10:00.0,600,3171,1259,27,509,2:02.9,188,947,203,0,,48,Hwt,RowErg,No,,"2023-07-06 02:28:42"
77061187,"2023-07-01 15:19:00","v2:30/0:30r...10 row",25:00.0,1500,5:00.0,300,5759,170,26,676,2:10.2,158,845,347,0,146,48,Hwt,RowErg,No,,"2023-07-01 05:20:10"
76895409,"2023-06-25 14:23:00","v250m/0:45r...12 row",12:25.1,745.1,9:00.0,540,3000,1676,28,560,2:04.1,183,928,187,0,140,48,Hwt,RowErg,No,,"2023-06-25 04:23:56"
76705437,"2023-06-18 14:40:00","v4:00/2:00r...4 row",16:00.0,960,8:00.0,480,3841,56,28,444,2:04.9,179,917,243,0,142,48,Hwt,RowErg,No,,"2023-06-18 04:40:40"
76657793,"2023-06-16 12:23:00","v1000m/2:00r...4 row",16:58.0,1018,8:00.0,480,4000,81,28,478,2:07.2,170,884,248,0,143,48,Hwt,RowErg,No,,"2023-06-16 02:23:38"
76539526,"2023-06-12 13:45:00","v2:00/2:00r...5 row",14:00.0,840,10:00.0,600,3329,95,28,400,2:06.1,174,899,208,0,142,48,Hwt,RowErg,No,,"2023-06-12 03:46:11"
76518134,"2023-06-11 11:55:00","v750m/2:00r...5 row",16:09.0,969,10:00.0,600,3750,97,27,447,2:09.2,162,858,229,0,145,48,Hwt,RowErg,No,,"2023-06-11 01:55:22"
75566550,"2023-05-07 16:08:00","v500m/2:00r...5 row",11:22.5,682.5,10:00.0,600,2500,91,28,325,2:16.5,138,773,144,0,150,48,Hwt,RowErg,No,,"2023-05-07 06:08:52"
